number,name,year,instrumentation,media-type,media-location,thumbnail-location
1,Underground.mp4,2025,"score for large orchestra, recorded by the <a href=""https://www.buehnen-halle.de/de/staatskapelle"" target=""_blank"">Staatskapelle Halle</a>",video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/underground.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/underground.webp
2,way we do it bootleg.mp3,2026,"id of a <a href=""https://www.instagram.com/scrufizzer139/"" target=""_blank"">scrufizzer</a> vocal ",audio,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/audio/way-we-do-it-bootleg.mp3,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/wav-file.webp
3,on parking.txt,2022,story told in rhyming couplets,text,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/text/on-parking.txt,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/txt-file.webp
6,Selbstliebe.mp4,2025,score for large orchestra,video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/selbstliebe.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/selbstliebe.webp
7,VID_20210625_201247.mp4,2022,"my backyard garden in Boulder, CO",video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/rain-garden.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/rain-garden.webp
8,moms-garden.mp3,2026,wind chimes on sony tdv-2000d cassette recorder,audio,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/audio/moms-garden.mp3,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/wav-file.webp
10,gabes-hands.jpg,2024,photo by dahlia seiter,image,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/images/gabes-hands.jpg,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/gabes-hands.webp
11,underground-score.pdf,2025,transposing score,score,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/scores/underground-score.pdf,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/underground-score.webp
12,gabriel-kyne-showreel-2026.mp4,2026,5-minute showreel for 2026,video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/showreel-2026.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/showreel-2026-small.webp
13,emotion-hazard.mp4,2025,"5.1-channel electroacoustic score for animation by <a href=""https://nikkozixuanzhou.art/"" target=""_blank"">Nikko Zixuan Zhou</a>",video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/emotion-hazard.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/emotion-hazard.webp
14,Minuetto.mp4,2022,"recorded live in Boulder, CO by <a href=""https://www.instagram.com/kar.ma.en"" target=""_blank"">Karmen Grubišić</a> in 2022",video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/minuetto.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/minuetto.webp
15,Three Miniatures.mp4,2021,"winner of the 2021 lauren mann memorial fund. recorded 2022 by Boheng Wang in Boulder, CO. ",video,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/video/three-miniatures.mp4,https://pub-715e1f7bc3864cb8b05d16f94698b504.r2.dev/assets/thumbnails/three-miniatures.webp
16,selbstliebe-score.pdf,2025,transposing score,score,,
17
